Time,Source,Destination,Protocol,Length,Label
0.0,10.0.0.1,10.0.0.6,TCP,74,0
0.000121,10.0.0.1,10.0.0.6,TCP,66,0
0.002885,10.0.0.1,10.0.0.6,TCP,126,0
0.003433,10.0.0.1,10.0.0.6,TCP,66,0
0.003471,10.0.0.1,10.0.0.6,TCP,7306,0
0.013158,10.0.0.1,10.0.0.6,TCP,7306,0
0.025226,10.0.0.1,10.0.0.6,TCP,10202,0
0.042299,10.0.0.1,10.0.0.6,TCP,4410,0
0.049501,10.0.0.1,10.0.0.6,TCP,7306,0
0.061576,10.0.0.1,10.0.0.6,TCP,18890,0
0.09314,10.0.0.1,10.0.0.6,TCP,2962,0
0.097918,10.0.0.1,10.0.0.6,TCP,21786,0
0.134241,10.0.0.1,10.0.0.6,TCP,21786,0
0.170577,10.0.0.1,10.0.0.6,TCP,21786,0
0.206911,10.0.0.1,10.0.0.6,TCP,21786,0
0.244515,10.0.0.1,10.0.0.6,TCP,21786,0
0.279599,10.0.0.1,10.0.0.6,TCP,21786,0
0.315928,10.0.0.1,10.0.0.6,TCP,21786,0
0.352264,10.0.0.1,10.0.0.6,TCP,21786,0
0.388593,10.0.0.1,10.0.0.6,TCP,46402,0
0.46612,10.0.0.1,10.0.0.6,TCP,4410,0
0.473378,10.0.0.1,10.0.0.6,TCP,50746,0
0.558172,10.0.0.1,10.0.0.6,TCP,50746,0
0.643189,10.0.0.1,10.0.0.6,TCP,50746,0
0.728466,10.0.0.1,10.0.0.6,TCP,65226,0
0.836747,10.0.0.1,10.0.0.6,TCP,65226,0
0.945767,10.0.0.1,10.0.0.6,TCP,65226,0
1.054763,10.0.0.1,10.0.0.6,TCP,65226,0
1.163762,10.0.0.1,10.0.0.6,TCP,65226,0
1.272771,10.0.0.1,10.0.0.6,TCP,65226,0
1.387161,10.0.0.1,10.0.0.6,TCP,65226,0
1.493642,10.0.0.1,10.0.0.6,TCP,65226,0
1.602634,10.0.0.1,10.0.0.6,TCP,65226,0
1.71662,10.0.0.2,10.0.0.6,TCP,74,0
